record_id,period_key,dimension_a,dimension_b,category_code,value_amount,status_code
REC00001,P02,DA002,DB002,CAT02,507.02,VALID
REC00002,P03,DA003,DB003,CAT03,3989.48,VALID
REC00003,P04,DA004,DB004,CAT01,1314.4,VALID
REC00004,P01,DA005,DB005,CAT02,3143.27,VALID
REC00005,P02,DA001,DB006,CAT03,3784.09,VALID
REC00006,P03,DA002,DB001,CAT01,4786.2,VALID
REC00008,P01,DA004,DB003,CAT03,3213.5,VALID
REC00009,P02,DA005,DB004,CAT01,858.33,VALID
REC00010,P03,DA001,DB005,CAT02,1635.87,VALID
REC00011,P04,DA002,DB006,CAT03,2957.02,VALID
REC00012,P01,DA003,DB001,CAT01,3870.69,VALID
REC00013,P02,DA004,DB002,CAT02,4754.68,VALID
REC00015,P04,DA001,DB004,CAT01,3630.32,VALID
REC00016,P01,DA002,DB005,CAT02,760.84,VALID
REC00017,P02,DA003,DB006,CAT03,1192.35,VALID
REC00018,P03,DA004,DB001,CAT01,2980.88,VALID
REC00019,P04,DA005,DB002,CAT02,4795.56,VALID
REC00020,P01,DA001,DB003,CAT03,4392.37,VALID
